i,Date,Price,Open,High,Low,Vol.,Change %,u_i^2,sigma_i^2,#NAME?
74,08/21/2023,2.55,2.58,2.58,2.55,774.32M,-1.28%,0.00016384,0.00007154,1.855274273
75,08/18/2023,2.58,2.61,2.62,2.58,1.01B,-1.15%,0.00013225,0.00007235,2.312639062
76,08/17/2023,2.61,2.59,2.62,2.58,803.67M,0.23%,0.00000529,0.00007147,4.07187175
77,08/16/2023,2.6,2.61,2.63,2.6,691.42M,-0.72%,0.00005184,0.00007121,3.419482084
78,08/15/2023,2.62,2.62,2.63,2.6,749.61M,0.00%,0,0.0000703,4.153047051
79,08/14/2023,2.62,2.62,2.63,2.6,701.91M,-0.76%,0.00005776,0.00007014,3.33054329
80,08/11/2023,2.64,2.71,2.71,2.64,1.32B,-2.37%,0.00056169,0.00007629,-3.245462914
81,08/10/2023,2.71,2.7,2.71,2.69,670.73M,0.00%,0,0.00007534,4.122954458
82,08/09/2023,2.71,2.7,2.72,2.7,956.92M,0.00%,0,0.00007442,4.128283292
83,08/08/2023,2.71,2.7,2.73,2.69,815.81M,0.00%,0,0.00007353,4.133547532
84,08/07/2023,2.71,2.71,2.72,2.7,950.68M,-0.40%,0.000016,0.00007284,3.917961415
85,08/04/2023,2.72,2.75,2.76,2.72,963.30M,0.00%,0,0.00007199,4.142751248
86,08/03/2023,2.72,2.7,2.72,2.69,801.58M,0.93%,0.00008649,0.00007215,2.943061574
87,08/02/2023,2.7,2.72,2.73,2.69,858.81M,-0.92%,0.00008464,0.0000723,2.97016641
88,08/01/2023,2.72,2.73,2.75,2.72,711.86M,-0.29%,0.00000841,0.00007157,4.027751588
89,07/31/2023,2.73,2.75,2.78,2.72,976.59M,0.00%,0,0.00007077,4.150162526
90,07/28/2023,2.73,2.64,2.74,2.64,1.12B,2.79%,0.00077841,0.00007863,-5.795151268
91,07/27/2023,2.65,2.66,2.67,2.64,787.88M,0.00%,0,0.00007777,4.109206311
92,07/26/2023,2.65,2.65,2.66,2.64,487.05M,0.00%,0,0.00007692,4.113952746
93,07/25/2023,2.65,2.61,2.65,2.61,1.53B,3.19%,0.00101761,0.00008704,-7.631483087
94,07/24/2023,2.57,2.57,2.58,2.56,387.41M,-0.50%,0.000025,0.00008638,3.77417402
95,07/21/2023,2.59,2.58,2.6,2.57,733.86M,0.39%,0.00001521,0.00008563,3.889757595
96,07/20/2023,2.58,2.59,2.61,2.57,470.66M,-0.54%,0.00002916,0.00008504,3.727480296
97,07/19/2023,2.59,2.58,2.59,2.57,354.08M,0.35%,0.00001225,0.00008429,3.928896947
98,07/18/2023,2.58,2.59,2.59,2.57,283.84M,0.00%,0,0.00008343,4.078685193
99,07/17/2023,2.58,2.6,2.6,2.58,590.65M,-0.96%,0.00009216,0.00008352,2.97473534
100,07/14/2023,2.61,2.61,2.62,2.6,364.75M,0.00%,0,0.00008268,4.082591128
101,07/13/2023,2.61,2.58,2.61,2.58,538.82M,1.60%,0.000256,0.0000844,1.040409026
102,07/12/2023,2.57,2.57,2.58,2.56,352.10M,0.00%,0,0.00008357,4.077948579
103,07/11/2023,2.57,2.56,2.57,2.56,377.37M,0.67%,0.00004489,0.00008319,3.540326648
104,07/10/2023,2.55,2.55,2.57,2.54,349.87M,0.51%,0.00002601,0.00008264,3.76806411
105,07/07/2023,2.54,2.54,2.55,2.53,356.97M,-0.43%,0.00001849,0.00008203,3.860612248
106,07/06/2023,2.55,2.56,2.58,2.55,275.54M,-0.74%,0.00005476,0.00008178,3.41774148
107,07/05/2023,2.57,2.58,2.59,2.56,290.82M,-0.58%,0.00003364,0.00008133,3.676126573
108,07/04/2023,2.58,2.58,2.59,2.57,234.89M,0.00%,0,0.00008057,4.093807172
109,07/03/2023,2.58,2.55,2.58,2.55,535.43M,1.49%,0.00022201,0.00008187,1.375170265
110,06/30/2023,2.54,2.53,2.56,2.53,423.85M,0.28%,0.00000784,0.0000812,3.993899809
111,06/29/2023,2.54,2.55,2.55,2.53,335.84M,-0.59%,0.00003481,0.00008078,3.661772644
112,06/28/2023,2.55,2.54,2.55,2.53,799.15M,0.35%,0.00001225,0.00008017,3.94319346
113,06/27/2023,2.54,2.53,2.55,2.52,602.98M,0.59%,0.00003481,0.00007977,3.661780738
114,06/26/2023,2.53,2.54,2.54,2.52,821.19M,-1.10%,0.000121,0.00008013,2.586141017
115,06/21/2023,2.55,2.58,2.58,2.55,509.54M,-1.05%,0.00011025,0.00008039,2.723365833
116,06/20/2023,2.58,2.59,2.6,2.58,331.36M,-0.46%,0.00002116,0.00007988,3.832664598
117,06/19/2023,2.59,2.62,2.62,2.59,390.46M,-1.22%,0.00014884,0.00008047,2.244722072
118,06/16/2023,2.63,2.6,2.63,2.6,552.84M,0.88%,0.00007744,0.00008044,3.131847309
119,06/15/2023,2.6,2.57,2.6,2.57,475.74M,1.52%,0.00023104,0.00008171,1.260141751
120,06/14/2023,2.56,2.57,2.59,2.56,641.94M,0.00%,0,0.00008103,4.091363094
121,06/13/2023,2.56,2.55,2.57,2.54,349.55M,0.35%,0.00001225,0.00008046,3.942170696
122,06/12/2023,2.56,2.55,2.57,2.54,698.32M,0.00%,0,0.0000798,4.097994878
123,06/09/2023,2.56,2.55,2.56,2.55,673.69M,0.31%,0.00000961,0.00007923,3.979818868
124,06/08/2023,2.55,2.52,2.56,2.51,606.54M,0.99%,0.00009801,0.00007938,2.865607225
125,06/07/2023,2.52,2.53,2.55,2.51,419.70M,0.00%,0,0.00007875,4.103770615
126,06/06/2023,2.52,2.54,2.57,2.52,608.89M,-0.51%,0.00002601,0.00007833,3.774018298
127,06/05/2023,2.54,2.54,2.55,2.53,367.32M,-0.47%,0.00002209,0.00007788,3.824923266
128,06/02/2023,2.55,2.52,2.56,2.52,634.89M,1.72%,0.00029584,0.00007959,0.381991719
129,06/01/2023,2.51,2.49,2.53,2.49,744.16M,0.20%,0.000004,0.000079,4.051732091
130,05/31/2023,2.5,2.53,2.53,2.49,822.01M,-1.61%,0.00025921,0.00008039,0.870317195
131,05/30/2023,2.54,2.55,2.56,2.51,773.31M,-0.43%,0.00001849,0.00007992,3.865999992
132,05/29/2023,2.55,2.57,2.58,2.54,487.44M,-0.43%,0.00001849,0.00007945,3.867181114
133,05/26/2023,2.56,2.56,2.57,2.54,489.52M,0.00%,0,0.00007885,4.103183808
134,05/25/2023,2.57,2.57,2.58,2.54,567.27M,-0.47%,0.00002209,0.00007843,3.823867244
135,05/24/2023,2.58,2.61,2.62,2.58,1.03B,-1.53%,0.00023409,0.00007958,1.157693177
136,05/23/2023,2.62,2.66,2.66,2.62,567.99M,-1.58%,0.00024964,0.00008083,1.004052253
137,05/22/2023,2.66,2.63,2.67,2.63,605.75M,0.95%,0.00009025,0.0000809,2.976487144
138,05/19/2023,2.63,2.64,2.65,2.61,489.56M,-0.42%,0.00001764,0.00008044,3.875226501
139,05/18/2023,2.64,2.65,2.67,2.63,500.18M,0.00%,0,0.00007986,4.097648394
140,05/17/2023,2.65,2.67,2.68,2.64,646.38M,-0.93%,0.00008649,0.00007991,3.015067819
141,05/16/2023,2.67,2.68,2.69,2.66,413.95M,-0.22%,0.00000484,0.00007938,4.039321038
142,05/15/2023,2.68,2.63,2.68,2.62,736.54M,1.86%,0.00034596,0.00008126,-0.167494354
143,05/12/2023,2.63,2.66,2.67,2.63,838.15M,-1.39%,0.00019321,0.00008204,1.730885641
144,05/11/2023,2.67,2.68,2.69,2.66,341.47M,-0.22%,0.00000484,0.0000815,4.029441513
145,05/10/2023,2.67,2.7,2.71,2.67,1.27B,-1.18%,0.00013924,0.0000819,2.38661425
146,05/09/2023,2.71,2.73,2.75,2.7,946.04M,-0.66%,0.00004356,0.00008164,3.554533442
147,05/08/2023,2.72,2.69,2.73,2.69,771.90M,1.38%,0.00019044,0.00008238,1.772425709
148,05/05/2023,2.69,2.7,2.71,2.67,427.61M,-0.30%,0.000009,0.00008188,3.976893169
149,05/04/2023,2.69,2.67,2.7,2.66,803.33M,0.56%,0.00003136,0.00008154,3.704030362
150,04/28/2023,2.68,2.66,2.69,2.66,538.59M,0.90%,0.000081,0.00008154,3.095254095
151,04/27/2023,2.66,2.62,2.66,2.62,610.67M,1.41%,0.00019881,0.00008232,1.66933387
152,04/26/2023,2.62,2.62,2.63,2.61,990.18M,0.00%,0,0.00008178,4.087377351
153,04/25/2023,2.62,2.63,2.63,2.6,684.35M,0.00%,0,0.00008124,4.090225194
154,04/24/2023,2.62,2.66,2.66,2.61,653.78M,-1.35%,0.00018225,0.0000819,1.86137179
155,04/21/2023,2.66,2.71,2.71,2.65,694.04M,-1.74%,0.00030276,0.00008332,0.445616234
156,04/20/2023,2.71,2.72,2.73,2.7,992.78M,-0.66%,0.00004356,0.00008307,3.556175351
157,04/19/2023,2.72,2.75,2.75,2.72,705.94M,-0.87%,0.00007569,0.00008302,3.169108516
158,04/18/2023,2.75,2.73,2.76,2.73,684.09M,0.37%,0.00001369,0.00008258,3.917342984
159,04/17/2023,2.74,2.68,2.74,2.68,826.01M,2.01%,0.00040401,0.0000846,-0.702766734
160,04/14/2023,2.68,2.68,2.7,2.67,375.88M,0.41%,0.00001681,0.00008418,3.875102902
161,04/13/2023,2.67,2.66,2.68,2.66,426.10M,0.00%,0,0.00008366,4.077502454
162,04/12/2023,2.67,2.69,2.69,2.67,352.99M,-0.56%,0.00003136,0.00008333,3.702861289
163,04/11/2023,2.68,2.69,2.7,2.67,513.48M,-0.22%,0.00000484,0.00008285,4.023280865
164,04/10/2023,2.69,2.69,2.7,2.68,427.49M,0.00%,0,0.00008235,4.084354726
165,04/07/2023,2.69,2.67,2.7,2.67,439.41M,0.71%,0.00005041,0.00008215,3.471765318
166,04/06/2023,2.67,2.67,2.68,2.66,510.22M,-0.45%,0.00002025,0.00008178,3.839737202
167,04/04/2023,2.68,2.67,2.68,2.66,527.75M,0.37%,0.00001369,0.00008137,3.921284224
168,04/03/2023,2.67,2.67,2.68,2.66,577.56M,0.00%,0,0.00008089,4.09211603
169,03/31/2023,2.67,2.67,2.69,2.66,582.71M,0.00%,0,0.00008041,4.094693453
170,03/30/2023,2.67,2.64,2.67,2.63,581.11M,1.21%,0.00014641,0.0000808,2.280542565
171,03/29/2023,2.64,2.66,2.66,2.64,437.03M,0.00%,0,0.00008033,4.095148792
172,03/28/2023,2.64,2.65,2.66,2.64,481.42M,0.00%,0,0.00007986,4.097681128
173,03/27/2023,2.64,2.65,2.66,2.63,497.21M,-0.64%,0.00004096,0.00007963,3.584547536
174,03/24/2023,2.66,2.67,2.67,2.65,422.41M,-0.49%,0.00002401,0.00007931,3.79793004
175,03/23/2023,2.67,2.65,2.67,2.65,421.82M,0.64%,0.00004096,0.00007909,3.583992064
176,03/22/2023,2.66,2.65,2.67,2.65,779.66M,0.34%,0.00001156,0.00007871,3.957099347
177,03/21/2023,2.65,2.63,2.65,2.63,877.47M,1.03%,0.00010609,0.00007887,2.757909765
178,03/20/2023,2.62,2.64,2.65,2.62,559.01M,-0.64%,0.00004096,0.00007865,3.583515627
179,03/17/2023,2.64,2.65,2.68,2.62,1.11B,0.38%,0.00001444,0.00007829,3.921839482
180,03/16/2023,2.63,2.64,2.65,2.63,644.85M,-0.94%,0.00008836,0.00007835,2.978197506
181,03/15/2023,2.65,2.67,2.68,2.65,679.85M,0.00%,0,0.00007792,4.108369225
182,03/14/2023,2.65,2.67,2.67,2.63,665.31M,-0.67%,0.00004489,0.00007774,3.531909149
183,03/13/2023,2.67,2.64,2.68,2.64,579.29M,1.02%,0.00010404,0.00007788,2.772661283
184,03/10/2023,2.64,2.66,2.67,2.64,782.55M,-1.34%,0.00017956,0.00007843,1.816126284
185,03/09/2023,2.68,2.7,2.7,2.66,925.18M,-0.70%,0.000049,0.00007827,3.480372816
186,03/08/2023,2.7,2.71,2.71,2.68,650.65M,-0.77%,0.00005929,0.00007817,3.348486776
